01953d78a62879748a005f32bfb9585a	BKS Panik-Rohrrahmenschloss 1826 Fkt. E 40/92/9 Stulp 24x270mm R/L-verwend.	BKS	Panikfunktion: Funktion E | Stulplänge: 268 mm | Stulpbreite: 24 mm | Dornmaß: 40 mm | Vierkant / Nuss: 9 mm | Stulpform: Flachstulp eckig | Anschlagrichtung: DIN links / rechts | Entfernung: 92 mm
01954288f4d67f1583fac8b67317d812	BKS Panik-Rohrrahmenschloss 1826 Fkt. E 45/92/9 Stulp 24x270mm R/L-verwend.	BKS	Entfernung: 92 mm | Panikfunktion: Funktion E | Stulplänge: 268 mm | Stulpbreite: 24 mm | Dornmaß: 45 mm | Vierkant / Nuss: 9 mm | Stulpform: Flachstulp eckig | Anschlagrichtung: DIN links / rechts
0195425ba2d17c73b0eec2f6ff70cd3d	BKS Panik-Rohrrahmenschloß 1916 Fkt.E 40/9/92, Stulp 24x270x3mm, R/L verw.	BKS	Stulplänge: 268 mm | Anschlagrichtung: DIN links / rechts | Entfernung: 92 mm | Panikfunktion: Funktion E | Stulpbreite: 24 mm | Dornmaß: 40 mm
01953bee9680704c9fb61fe4bca03b9c	BKS Panik-RR-Schloss 1316 Funktion E 34/92/9 U-Stulp 24x245mm Niro Din Li	BKS	Vierkant: 9 mm | Panikfunktion: Funktion E | Stulpform: Flachstulp eckig | Anschlagrichtung: DIN L | Lochung: Profilzylinder (PZ) | Entfernung: 92 mm | Stulplänge: 245 mm | Dornmaß: 34 mm | Stulpbreite: 24 mm
01953d03a85d7a948e6bc3a395799651	BKS Panik-RR-Schloss 1316 Funktion E 34/92/9 U-Stulp 24x245mm Niro Din Rechts	BKS	Anschlagrichtung: DIN R | Panikfunktion: Funktion E | Stulplänge: 245 mm | Dornmaß: 34 mm | Entfernung: 92 mm | Vierkant / Nuss: 9 mm | Stulpbreite: 24 mm
01954647861b7bcb944c752d10155beb	BKS Panik-RR-Schloss 1316 Funktion E 35/92/9 Stulp 24x245mm Niro Din Li/Re	BKS	Dornmaß: 35 mm | Stulpbreite: 24 mm | Vierkant / Nuss: 9 mm | Stulpform: Flachstulp eckig | Entfernung: 92 mm | Anschlagrichtung: DIN links / rechts | Panikfunktion: Funktion E | Stulplänge: 245 mm
0191fc31fd6872f6930d31315159eeb8	BMH Objekt-Einsteckschloss 0.300.000162, PZ gelocht, Stulp 20x235 mm rund, Dorn 60 mm, DIN rechts	BMH	Stulplänge: 235 mm | Stulpbreite: 23 mm | Anschlagrichtung: DIN R | Entfernung: 72 mm | Stulpform: rund | Vierkant / Nuss: 8 mm | Lochung: Profilzylinder (PZ) | Dornmaß: 60 mm
0191fc3215e67026823ca311c0486ad8	BMH Objekt-Einsteckschloss 0300.000125, PZ gelocht, Stulp 20x235 mm rund, Dorn 55 mm, DIN links	BMH	Anschlagrichtung: DIN L | Entfernung: 72 mm | Vierkant / Nuss: 8 mm | Stulpform: rund | Lochung: Profilzylinder (PZ) | Dornmaß: 55 mm | Stulplänge: 235 mm | Stulpbreite: 20 mm
0191fc3215ea72e6a813baff951d260e	BMH Objekt-Einsteckschloss 0300.000126, PZ gelocht, Stulp 20x235 mm rund, Dorn 55 mm, DIN rechts	BMH	Stulpform: rund | Dornmaß: 55 mm | Lochung: Profilzylinder (PZ) | Stulplänge: 235 mm | Stulpbreite: 20 mm | Entfernung: 72 mm | Anschlagrichtung: DIN R | Vierkant / Nuss: 8 mm
0191fc31fd63705993f7c8afdc09e71d	BMH Objekt-Einsteckschloss 0300.000161, PZ gelocht, Stulp 20x235 mm rund, Dorn 60 mm, DIN links	BMH	Entfernung: 72 mm | Vierkant / Nuss: 8 mm | Stulpform: rund | Lochung: Profilzylinder (PZ) | Dornmaß: 60 mm | Stulplänge: 235 mm | Stulpbreite: 22 mm | Anschlagrichtung: DIN L
